dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Order:Bacteroidales	-0.5938961993959553	0.4427700302329916	-1.3413197796685539	0.19414386317489038	24	Smoking_status;BMI_kg_m2			CLR(Order:Bacteroidales) ~ Age + Smoking_status + BMI_kg_m2	0.42711649898475884	Negative	NS	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Order:Burkholderiales	0.4623781442071857	0.3781883997085327	1.2226132387020265	0.2350205996607422	24	Smoking_status;BMI_kg_m2			CLR(Order:Burkholderiales) ~ Age + Smoking_status + BMI_kg_m2	0.4308710993780274	Positive	NS	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Order:Campylobacterales	0.4617886805679538	0.21717313395298055	2.1263619130160647	0.04549551989577622	24	Smoking_status;BMI_kg_m2			CLR(Order:Campylobacterales) ~ Age + Smoking_status + BMI_kg_m2	0.16681690628451282	Positive	p<0.05	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Order:Enterobacterales	-0.6372076814078005	0.6300415371627492	-1.0113740822189634	0.32334934781178926	24	Smoking_status;BMI_kg_m2			CLR(Order:Enterobacterales) ~ Age + Smoking_status + BMI_kg_m2	0.5081204037042403	Negative	NS	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Order:Fusobacteriales	-1.8808506429512963	0.24362183307023733	-7.720369801211692	1.4498363306903164e-07	24	Smoking_status;BMI_kg_m2			CLR(Order:Fusobacteriales) ~ Age + Smoking_status + BMI_kg_m2	1.594819963759348e-06	Negative	p<0.001	p<0.001
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Order:Lachnospirales	0.978472822822987	0.43867679489690076	2.2305096467501793	0.036752170735754326	24	Smoking_status;BMI_kg_m2			CLR(Order:Lachnospirales) ~ Age + Smoking_status + BMI_kg_m2	0.16681690628451282	Positive	p<0.05	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Order:Lactobacillales	0.12649865870341015	0.6788075069878586	0.18635424240479526	0.8539554318157386	24	Smoking_status;BMI_kg_m2			CLR(Order:Lactobacillales) ~ Age + Smoking_status + BMI_kg_m2	0.9393509749973126	Positive	NS	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Order:Peptostreptococcales-Tissierellales	0.1917572365803829	0.5354219152562221	0.3581423007099344	0.7238117275427876	24	Smoking_status;BMI_kg_m2			CLR(Order:Peptostreptococcales-Tissierellales) ~ Age + Smoking_status + BMI_kg_m2	0.8846587781078514	Positive	NS	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Order:Saccharimonadales	0.8015372113747736	0.4686650489487613	1.7102559987621455	0.1019538130979754	24	Smoking_status;BMI_kg_m2			CLR(Order:Saccharimonadales) ~ Age + Smoking_status + BMI_kg_m2	0.28037298601943234	Positive	NS	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Order:Veillonellales-Selenomonadales	-0.05517072401758116	0.7652425337362075	-0.07209573643040532	0.9432079627838048	24	Smoking_status;BMI_kg_m2			CLR(Order:Veillonellales-Selenomonadales) ~ Age + Smoking_status + BMI_kg_m2	0.9432079627838048	Negative	NS	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Unclassified_Order	0.14469249351594077	0.16006812027447279	0.9039432290941691	0.37627884178063364	24	Smoking_status;BMI_kg_m2			CLR(Unclassified_Order) ~ Age + Smoking_status + BMI_kg_m2	0.5173834074483712	Positive	NS	NS
